,building characteristics factors,,,,,,,,,Structural and architectural factors,,,,,Financial properties factors,,,Social Factors,,Governmental Factors,,Physical/Environmental Factors,Economic factors,,,,,Output
id,Total Land Size,Groos Area of unit,House Age,Land Value,Location Type,Building Type,Exist elevator,Distance from Malls,Distance to road,Number of bedrooms,Number of bathrooms,Garage,Garden Share,Level of Finishing,Preliminary estimated construction,Duration of construction,Price of the unit at the beginning,Population Trends in the city,Standard Level in the region,Quality of Schools,Quality of Services,Transportation,Interest Rate,Inflation Rate,Economic climate,CPI,Months in Market,Final Price
Project 1,260,90,35,3500000,2,2,1,2,1,3,1,2,2,2,3700,14,5050,3,2,1,1,2,17.53,13.77,2,13.74,10,676500
Project 2,200,90,20,2500000,2,1,2,2,2,2,1,1,1,2,3500,14,4800,3,2,2,2,2,17.5,14.56666667,2,14.573,8,631500
Project 3,250,110,18,4500000,2,2,2,2,2,3,2,1,1,2,3150,14,4600,3,2,2,2,2,19.7,26.23333333,2,26.23333333,4,722000
Project 4,240,95,10,4500000,2,1,1,2,2,2,2,2,1,3,3400,8,4900,3,2,2,2,2,18.23333333,12.96666667,2,12.985,5,663000
Project 5,220,100,15,3800000,2,1,2,2,2,3,2,2,2,2,1750,10,2700,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,6,410000
Project 6,200,90,14,1900000,2,1,2,2,2,3,1,2,2,2,1750,10,2600,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,6,375000
Project 7,200,90,15,1400000,2,1,2,2,2,3,1,2,2,2,2000,10,3000,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,7,420000
Project 8,190,95,13,3200000,2,2,2,2,2,2,2,1,1,3,2700,9,3850,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,6,558500
Project 9,170,80,16,4100000,2,2,2,2,2,2,1,1,1,3,3150,8,4600,3,3,2,1,2,19.7,26.23333333,2,26.23333333,5,570000
Project 10,160,70,9,3100000,2,1,1,1,1,2,1,2,1,2,3600,7,4950,1,2,1,1,2,17.9,15.13333333,3,15.10033333,6,528000
Project 11,200,90,12,5100000,2,2,2,1,2,2,2,2,2,2,2700,9,4000,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,8,546000
Project 12,210,90,13,6100000,2,1,1,2,2,2,2,2,1,1,1750,10,2950,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,7,397500
Project 13,210,90,11,5200000,2,1,1,2,2,2,2,2,1,2,3400,10,4900,1,2,1,1,2,18.23333333,12.96666667,2,12.985,7,631500
Project 14,175,80,12,2200000,1,1,2,1,1,2,1,1,1,1,2550,8,3700,3,1,1,1,2,15.4,18.76666667,1,18.753,6,446000
Project 15,180,75,10,1200000,2,1,1,1,2,2,1,1,1,1,3800,7,4950,3,2,1,1,2,16.66666667,12.16666667,3,12.16,5,558750
Project 16,225,110,15,3200000,2,1,2,2,2,3,2,2,2,2,3900,10,5300,1,2,2,2,2,15.96666667,7,3,6.962666667,7,793500
